user_id,recipe_id,ndcg_10,recall_10,precision_10
482376,337211,0.0,0.0,0.0
56003,370305,0.0,0.0,0.0
895132,468945,0.0,0.0,0.0
1129628,244736,0.0,0.0,0.0
329671,71967,0.0,0.0,0.0
424680,343269,0.0,0.0,0.0
369715,55045,0.0,0.0,0.0
2001630657,333780,0.0,0.0,0.0
696110,247704,0.0,0.0,0.0
724516,215576,0.0,0.0,0.0
206747,372883,0.0,0.0,0.0
620634,84504,0.0,0.0,0.0
434180,43396,0.0,0.0,0.0
186070,135198,0.0,0.0,0.0
146486,63588,0.0,0.0,0.0
157425,121335,0.0,0.0,0.0
80998,381775,0.0,0.0,0.0
80353,310386,0.0,0.0,0.0
736607,169825,0.0,0.0,0.0
152402,94207,0.0,0.0,0.0
500586,3121,0.0,0.0,0.0
133174,417096,0.0,0.0,0.0
1161157,89204,0.0,0.0,0.0
361176,104753,0.0,0.0,0.0
195969,39840,0.0,0.0,0.0
369989,231008,0.0,0.0,0.0
39311,190410,0.0,0.0,0.0
159093,58284,0.0,0.0,0.0
97686,101695,0.0,0.0,0.0
837451,176016,0.0,0.0,0.0
461724,231647,0.0,0.0,0.0
593927,240994,0.0,0.0,0.0
2127223,67062,0.0,0.0,0.0
180192,18387,0.0,0.0,0.0
206616,104150,0.0,0.0,0.0
201581,151608,0.0,0.0,0.0
67656,25384,0.0,0.0,0.0
1800054678,46700,0.0,0.0,0.0
92816,86793,0.0,0.0,0.0
1641717,40844,0.0,0.0,0.0
61660,456954,0.0,0.0,0.0
350938,365017,0.0,0.0,0.0
645114,241627,0.0,0.0,0.0
95114,262140,0.0,0.0,0.0
39835,66254,0.0,0.0,0.0
226863,173453,0.0,0.0,0.0
104295,110448,0.0,0.0,0.0
169430,439079,0.0,0.0,0.0
280271,335936,0.0,0.0,0.0
163112,373230,0.0,0.0,0.0
169430,214385,0.0,0.0,0.0
571308,46877,0.0,0.0,0.0
238563,87322,0.0,0.0,0.0
166642,200927,0.0,0.0,0.0
383346,210236,0.0,0.0,0.0
124249,169813,0.0,0.0,0.0
103628,48502,0.0,0.0,0.0
37779,31502,0.0,0.0,0.0
791558,53296,0.0,0.0,0.0
359724,68586,0.0,0.0,0.0
209603,91376,0.0,0.0,0.0
804887,10744,0.0,0.0,0.0
754645,230923,0.0,0.0,0.0
160977,176435,0.0,0.0,0.0
143721,52213,0.0,0.0,0.0
269521,222526,0.0,0.0,0.0
366118,179024,0.0,0.0,0.0
191915,222188,0.0,0.0,0.0
394288,3782,0.0,0.0,0.0
74515,33630,0.0,0.0,0.0
936601,262291,0.0,0.0,0.0
835365,8972,0.0,0.0,0.0
900992,20886,0.0,0.0,0.0
71324,120371,0.0,0.0,0.0
